# wavelength evening          morning
0.3600000000 10610.3158323351 10168.8033651749
0.3788628763 10606.0780525327 10144.7037680713
0.3977257525 10606.3200651720 10130.6208605376
0.4165886288 10600.5079816448 10089.1516988408
0.4354515050 10598.3402409610 10065.0210936995
0.4543143813 10595.6889251404 10037.0514657074
0.4731772575 10594.4655128505 10014.6070998483
0.4920401338 10594.8930606915 10000.0839286651
0.5109030100 10598.9131055018 9992.1448426050
0.5297658863 10605.8056379149 9982.1623802885
0.5486287625 10615.5163341982 9991.8719613482
0.5674916388 10644.4262491537 10006.2025461963
0.5863545151 10852.1941267529 10160.2453905505
0.6052173913 10644.6132434014 10000.2686169858
0.6240802676 10607.1687172725 9938.8956196031
0.6429431438 10598.6863631114 9955.0237985638
0.6618060201 10593.4960737988 9928.5411643146
0.6806688963 10592.1472441711 9931.2967940449
0.6995317726 10600.3819364843 10045.0492802523
0.7183946488 10611.2316130103 10124.4130255420
0.7372575251 10613.8905866014 10150.8969718289
0.7561204013 10618.5090941059 10171.2703510937
0.7749832776 10746.8374421703 10354.2713565060
0.7938461538 10600.1933631917 10089.4172859870
0.8127090301 10616.0520457002 10125.0527863439
0.8315719064 10614.5944396126 10098.3762356909
0.8504347826 10600.2235588690 10099.8404925443
0.8692976589 10590.6143928124 10082.5310796242
0.8881605351 10604.8847354115 10196.8463274693
0.9070234114 10618.8131647721 10246.3701170046
0.9258862876 10677.9388369869 10268.3771547936
0.9447491639 10718.1003481111 10333.8628999353
0.9636120401 10708.1643672337 10320.4816667100
0.9824749164 10673.3738288174 10282.9763959695
1.0013377926 10629.8503892171 10236.7910884013
1.0202006689 10600.7536993960 10173.0522759383
1.0390635452 10593.4357237819 10103.4131521637
1.0579264214 10593.1107076669 10047.1954757487
1.0767892977 10598.1158238696 10051.6542412916
1.0956521739 10660.0004776608 10227.3162368891
1.1145150502 10738.2786745863 10388.7915557798
1.1333779264 10762.6118313872 10424.1672521587
1.1522408027 10727.0794797821 10407.9467292306
1.1711036789 10714.8628488891 10401.6350757369
1.1899665552 10665.2273039734 10335.2871877932
1.2088294314 10628.7593792386 10247.2980671635
1.2276923077 10610.8568883606 10159.5916003723
1.2465551839 10601.7617708559 10091.4106516851
1.2654180602 10603.1393397677 10053.8503693083
1.2842809365 10627.0360855036 10136.3436338349
1.3031438127 10647.8836713631 10238.5416611584
1.3220066890 10701.4335459957 10340.7821601006
1.3408695652 10909.2987567539 10548.3169844059
1.3597324415 10988.1918871764 10635.7967002943
1.3785953177 10967.6524736489 10621.8589399430
1.3974581940 10970.1779077241 10625.7773009470
1.4163210702 11010.2948148442 10642.2425337171
1.4351839465 10996.5228348508 10620.4830785371
1.4540468227 10917.8496703712 10539.4126011574
1.4729096990 10903.0019034679 10515.1556316624
1.4917725753 10850.7067701794 10454.8135155011
1.5106354515 10792.1336119778 10379.2337960436
1.5294983278 10747.4490923351 10320.5430743462
1.5483612040 10707.6205728278 10271.1403698131
1.5672240803 10682.2977652572 10257.0732560344
1.5860869565 10651.6769232569 10242.9397806425
1.6049498328 10644.5001688155 10309.0591621840
1.6238127090 10636.0861438229 10359.5917475791
1.6426755853 10632.7560300250 10365.4602409529
1.6615384615 10623.6782798282 10356.2590050472
1.6804013378 10619.7037537352 10379.9189054281
1.6992642140 10631.0032004148 10389.0885407747
1.7181270903 10673.0504178171 10401.7776533531
1.7369899666 10710.1620444729 10428.8024060027
1.7558528428 10736.0357793296 10437.5600640010
1.7747157191 10797.3971556227 10480.7961499236
1.7935785953 10828.6628156030 10506.1759168797
1.8124414716 10882.0720849411 10538.5152527008
1.8313043478 10891.3601696225 10546.1444488559
1.8501672241 10933.6777414581 10571.1345108277
1.8690301003 10972.0529907152 10600.9143052722
1.8878929766 10924.9330685425 10551.7107383238
1.9067558528 10892.1010377616 10517.5956625047
1.9256187291 10888.4524767411 10521.5000328736
1.9444816054 10938.7259186706 10579.7285655375
1.9633444816 10943.5845596320 10573.3649724999
1.9822073579 10919.7692816117 10527.2889113567
2.0010702341 10905.5893472276 10513.1513020803
2.0199331104 10860.2693806769 10477.9042515142
2.0387959866 10801.0826722778 10413.2185256239
2.0576588629 10738.1333441803 10347.0770178407
2.0765217391 10702.0996956080 10326.9776841638
2.0953846154 10668.1778954597 10321.1388388615
2.1142474916 10650.1174498210 10326.5028717846
2.1519732441 10633.4468577578 10337.7551554665
2.1708361204 10631.2434443247 10360.7671691283
2.1896989967 10634.1657811759 10391.7118208008
2.2085618729 10640.2329349868 10452.6363009323
2.2274247492 10646.0584433342 10447.7862323890
2.2462876254 10647.9776714182 10473.1688195219
2.2840133779 10658.0625773120 10486.6201545843
2.3028762542 10691.2548999352 10508.1082747169
2.3217391304 10710.5315112240 10519.7277287029
2.3406020067 10723.0876136330 10537.7154794068
2.3594648829 10748.9267492315 10540.9890669599
2.3971906355 10757.7445677758 10536.7898776665
2.4160535117 10789.8394892901 10533.9029062439
2.4349163880 10840.1446401439 10555.6621713414
2.4726421405 10896.9185160009 10580.8562206083
2.4915050167 10945.7463477497 10605.8760895322
2.5103678930 11031.5371544357 10657.9164623475
2.5292307692 11067.4607627461 10690.3061254231
2.5669565217 11094.7078338649 10715.3091236485
2.5858193980 11115.3643787791 10737.2459821708
2.6235451505 11073.0107063846 10697.3036674622
2.6424080268 11075.2050734949 10691.9488943182
2.6612709030 11211.8527037090 10850.5554894628
2.6989966555 11264.1587283560 10902.5044958353
2.7178595318 11247.9329775714 10869.4213492127
2.7555852843 11199.9255820654 10817.9744063418
2.7744481605 11218.5710653433 10835.7577324786
2.8121739130 11204.0018639231 10829.4095970298
2.8310367893 11205.4928216400 10827.7790715388
2.8687625418 11177.6549794036 10796.9498602112
2.8876254181 11131.9586471371 10735.9146584414
2.9253511706 11143.2799179069 10720.5296875201
2.9442140468 11072.6974814330 10650.8461696758
2.9819397993 11053.7841342135 10630.6830506749
3.0008026756 11017.1571814804 10607.9755296644
3.0385284281 10994.3611411184 10599.9494293641
3.0573913043 10939.8024664807 10585.7536130651
3.0951170569 10926.5292624643 10606.7994683697
3.1328428094 10887.3718629648 10603.3803311547
3.1517056856 10865.7806359168 10617.5616110273
3.1894314381 10853.0150445450 10628.0903476999
3.2271571906 10827.8574382743 10616.6891918869
3.2460200669 10784.0846846860 10586.3473872993
3.2837458194 10786.4456116769 10571.1828463635
3.3214715719 10785.5664900925 10658.6375492445
3.3591973244 10781.8797782026 10625.5823737908
3.3780602007 10777.4945279732 10584.1401657932
3.4157859532 10767.7441516490 10587.4636311284
3.4535117057 10746.0373705220 10576.9242900203
3.4912374582 10744.8135941924 10566.6328654215
3.5289632107 10725.2724416889 10543.7601169116
3.5666889632 10717.1797969049 10533.6325279437
3.6044147157 10710.3469953541 10511.7389569739
3.6232775920 10695.7594476892 10492.8111485727
