This model is a 3D, clear morning spectrum post-processed with the Kempton group's RT code.
It includes H2O, CO2, CIA, and scattering opacity, pulling profiles from a Maria Z. chemical eq. GCM on alt levels.
Wavelength Depth
0.5 2.093279
0.5001667 2.09331
0.5003334 2.09896
0.5005002 2.093091
0.500667 2.092731
0.5008338999999999 2.101599
0.5010008 2.096065
0.5011678 2.101497
0.5013349 2.092563
0.501502 2.095117
0.5016691999999999 2.092616
0.5018364000000001 2.092102
0.5020036999999999 2.097067
0.5021709999999999 2.121181
0.5023384 2.092239
0.5025058 2.091837
0.5026733 2.092647
0.5028409 2.09191
0.5030085 2.096881
0.5031762 2.09774
0.5033439000000001 2.092322
0.5035117 2.095327
0.5036795000000001 2.165685
0.5038474000000001 2.092048
0.5040154 2.09195
0.5041834000000001 2.092033
0.5043514 2.097794
0.5045196000000001 2.091123
0.5046877 2.098437
0.504856 2.097487
0.5050242 2.091218
0.5051926 2.109913
0.5053610000000001 2.098387
0.5055294 2.093302
0.5056979 2.098809
0.5058665 2.091926
0.5060351 2.090746
0.5062038000000001 2.095012
0.5063725 2.09226
0.5065413000000001 2.09089
0.5067102 2.092572
0.5068790999999999 2.09036
0.507048 2.095755
0.5072171 2.090549
0.5073861 2.11005
0.5075552999999999 2.094647
0.5077244000000001 2.1738
0.5078937 2.090667
0.508063 2.090093
0.5082323 2.090218
0.5084018 2.090873
0.5085712 2.091106
0.5087407 2.08968
0.5089103 2.101609
0.50908 2.093105
0.5092497 2.089663
0.5094194 2.091199
0.5095892 2.089441
0.5097591 2.090827
0.5099290000000001 2.091976
0.510099 2.09062
0.510269 2.116552
0.5104390999999999 2.089415
0.5106092 2.089419
0.5107794 2.089042
0.5109497000000001 2.088657
0.51112 2.094153
0.5112904 2.095673
0.5114607999999999 2.089414
0.5116313 2.088366
0.5118019 2.115399
0.5119725 2.090873
0.5121431 2.088191
0.5123138 2.090316
0.5124846 2.099125
0.5126554 2.088452
0.5128263 2.08932
0.5129973 2.088582
0.5131683 2.088861
0.5133392999999999 2.10249
0.5135103999999999 2.089267
0.5136816 2.097982
0.5138528 2.089135
0.5140241000000001 2.115985
0.5141954000000001 2.087955
0.5143667999999999 2.088498
0.5145383 2.087733
0.5147098 2.089362
0.5148814 2.087236
0.515053 2.087732
0.5152247 2.087052
0.5153964000000001 2.087332
0.5155682 2.091059
0.5157400999999999 2.096451
0.515912 2.087534
0.516084 2.087025
0.5162559999999999 2.088388
0.5164281000000001 2.128495
0.5166002000000001 2.086437
0.5167724 2.088161
0.5169447 2.086615
0.517117 2.087005
0.5172894 2.086882
0.5174618000000001 2.086754
0.5176343 2.086326
0.5178068 2.086333
0.5179794 2.094477
0.5181521 2.086262
0.5183248 2.086688
0.5184976 2.085884
0.5186704 2.085756
0.5188433 2.085611
0.5190163 2.085746
0.5191893 2.085809
0.5193622999999999 2.085305
0.5195354000000001 2.085729
0.5197086000000001 2.085365
0.5198819 2.086571
0.5200552 2.087128
