This model is a 3D, hazy evening spectrum post-processed with the Kempton group's RT code.
It includes H2O, CO2, CIA, and scattering opacity, pulling profiles from a Maria S. 30nm GCM.
Wavelength Depth
0.5 2.152199
0.5001667 2.152165
0.5003334 2.154944
0.5005002 2.152044
0.500667 2.151902
0.5008338999999999 2.155006
0.5010008 2.153338
0.5011678 2.154846
0.5013349 2.151776
0.501502 2.152692
0.5016691999999999 2.151866
0.5018364000000001 2.151563
0.5020036999999999 2.153666
0.5021709999999999 2.163194
0.5023384 2.151579
0.5025058 2.151413
0.5026733 2.151729
0.5028409 2.151454
0.5030085 2.153454
0.5031762 2.153713
0.5033439000000001 2.151551
0.5035117 2.152855
0.5036795000000001 2.18243
0.5038474000000001 2.151443
0.5040154 2.151376
0.5041834000000001 2.151436
0.5043514 2.153593
0.5045196000000001 2.150991
0.5046877 2.154078
0.504856 2.153917
0.5050242 2.151039
0.5051926 2.158657
0.5053610000000001 2.153777
0.5055294 2.152039
0.5056979 2.154055
0.5058665 2.151297
0.5060351 2.150772
0.5062038000000001 2.152674
0.5063725 2.151338
0.5065413000000001 2.150786
0.5067102 2.151568
0.5068790999999999 2.150551
0.507048 2.153099
0.5072171 2.150706
0.5073861 2.158384
0.5075552999999999 2.152648
0.5077244000000001 2.187403
0.5078937 2.150654
0.508063 2.150348
0.5082323 2.150447
0.5084018 2.150592
0.5085712 2.150806
0.5087407 2.150159
0.5089103 2.155099
0.50908 2.151808
0.5092497 2.150163
0.5094194 2.151008
0.5095892 2.14999
0.5097591 2.150583
0.5099290000000001 2.151058
0.510099 2.150407
0.510269 2.160127
0.5104390999999999 2.149946
0.5106092 2.149876
0.5107794 2.149776
0.5109497000000001 2.14955
0.51112 2.151747
0.5112904 2.15249
0.5114607999999999 2.149908
0.5116313 2.14939
0.5118019 2.160693
0.5119725 2.150439
0.5121431 2.1493
0.5123138 2.150405
0.5124846 2.154028
0.5126554 2.149387
0.5128263 2.149784
0.5129973 2.149502
0.5131683 2.149614
0.5133392999999999 2.15656
0.5135103999999999 2.149792
0.5136816 2.153559
0.5138528 2.149816
0.5140241000000001 2.161741
0.5141954000000001 2.149142
0.5143667999999999 2.149318
0.5145383 2.149043
0.5147098 2.149724
0.5148814 2.148769
0.515053 2.148931
0.5152247 2.148652
0.5153964000000001 2.148832
0.5155682 2.150326
0.5157400999999999 2.153036
0.515912 2.148777
0.516084 2.148582
0.5162559999999999 2.149178
0.5164281000000001 2.167727
0.5166002000000001 2.148289
0.5167724 2.149021
0.5169447 2.148402
0.517117 2.148611
0.5172894 2.14846
0.5174618000000001 2.148381
0.5176343 2.148184
0.5178068 2.148248
0.5179794 2.152996
0.5181521 2.148185
0.5183248 2.148478
0.5184976 2.147964
0.5186704 2.147897
0.5188433 2.147814
0.5190163 2.14792
0.5191893 2.147939
0.5193622999999999 2.14763
0.5195354000000001 2.147856
0.5197086000000001 2.147664
0.5198819 2.148242
0.5200552 2.148697
0.5202285 2.147523
0.5204019000000001 2.147597
0.5205753999999999 2.147536
0.5207489 2.147418
0.5209225000000001 2.147396
0.5210961000000001 2.147355
0.5212698 2.147388
0.5214436 2.147263
0.5216174 2.147443
0.5217913000000001 2.147105
